Instance Type,Instance Family,Cloud Provider,GPU Count,GPU Type,GPU Memory (GB),GPU Variant
custom.custom-4-vcpu,custom,GCP,,,,
custom.custom-8-vcpu,custom,GCP,,,,
custom.e2-16-vcpu,custom,GCP,,,,
custom.e2-2-vcpu,custom,GCP,,,,
custom.e2-4-vcpu,custom,GCP,,,,
custom.e2-6-vcpu,custom,GCP,,,,
custom.e2-8-vcpu,custom,GCP,,,,
custom.n1-custom-vcpu,custom,GCP,,,,
highcpu.c3-192-vcpu,highcpu,GCP,,,,
highcpu.c3-4-vcpu,highcpu,GCP,,,,
highcpu.e2-2-vcpu,highcpu,GCP,,,,
highcpu.n2-32-vcpu,highcpu,GCP,,,,
highcpu.n4-80-vcpu,highcpu,GCP,,,,
highmem.e2-4-vcpu,highmem,GCP,,,,
highmem.e2-8-vcpu,highmem,GCP,,,,
highmem.n1-4-vcpu,highmem,GCP,,,,
highmem.n2-16-vcpu,highmem,GCP,,,,
highmem.n2-32-vcpu,highmem,GCP,,,,
highmem.n2-4-vcpu,highmem,GCP,,,,
highmem.n2-8-vcpu,highmem,GCP,,,,
highmem.n2d-2-vcpu,highmem,GCP,,,,
highmem.n4-32-vcpu,highmem,GCP,,,,
sharedcore.e2-2-vcpu,sharedcore,GCP,,,,
sharedcore.f1-1-vcpu,sharedcore,GCP,,,,
sharedcore.g1-1-vcpu,sharedcore,GCP,,,,
standard.c2-16-vcpu,standard,GCP,,,,
standard.c2-4-vcpu,standard,GCP,,,,
standard.c2-8-vcpu,standard,GCP,,,,
standard.c2d-2-vcpu,standard,GCP,,,,
standard.c2d-4-vcpu,standard,GCP,,,,
standard.c3-192-vcpu,standard,GCP,,,,
standard.c3-4-vcpu,standard,GCP,,,,
standard.c3d-4-vcpu,standard,GCP,,,,
standard.c4-8-vcpu,standard,GCP,,,,
standard.c4a-2-vcpu,standard,GCP,,,,
standard.c4a-4-vcpu,standard,GCP,,,,
standard.ct6e-1t-vcpu,standard,GCP,,,,
standard.ct6e-4t-vcpu,standard,GCP,,,,
standard.e2-16-vcpu,standard,GCP,,,,
standard.e2-2-vcpu,standard,GCP,,,,
standard.e2-32-vcpu,standard,GCP,,,,
standard.e2-4-vcpu,standard,GCP,,,,
standard.e2-8-vcpu,standard,GCP,,,,
standard.h3-88-vcpu,standard,GCP,,,,
standard.n1-1-vcpu,standard,GCP,,,,
standard.n1-16-vcpu,standard,GCP,,,,
standard.n1-2-vcpu,standard,GCP,,,,
standard.n1-32-vcpu,standard,GCP,,,,
standard.n1-4-vcpu,standard,GCP,,,,
standard.n1-8-vcpu,standard,GCP,,,,
standard.n2-128-vcpu,standard,GCP,,,,
standard.n2-16-vcpu,standard,GCP,,,,
standard.n2-2-vcpu,standard,GCP,,,,
standard.n2-4-vcpu,standard,GCP,,,,
standard.n2-64-vcpu,standard,GCP,,,,
standard.n2-8-vcpu,standard,GCP,,,,
standard.n2d-2-vcpu,standard,GCP,,,,
standard.n2d-4-vcpu,standard,GCP,,,,
standard.n2d-8-vcpu,standard,GCP,,,,
standard.n4-2-vcpu,standard,GCP,,,,
standard.n4-4-vcpu,standard,GCP,,,,
standard.n4a-2-vcpu,standard,GCP,,,,
standard.n4a-4-vcpu,standard,GCP,,,,
standard.t2a-1-vcpu,standard,GCP,,,,
standard.t2a-16-vcpu,standard,GCP,,,,
standard.t2a-2-vcpu,standard,GCP,,,,
standard.t2a-4-vcpu,standard,GCP,,,,
standard.t2a-8-vcpu,standard,GCP,,,,
standard.t2d-2-vcpu,standard,GCP,,,,
standard.t2d-4-vcpu,standard,GCP,,,,
ultramem.m1-40-vcpu,ultramem,GCP,,,,
